"idade_pessoa";"salario_anual";"tipo_imovel";"anos_trabalhados";"motivo_emprestimo";"pontuacao_emprestimo";"valor_emprestimo";"taxa_juros";"possibilidade_inadimplencia";"renda_percentual";"foi_inadimplente";"anos_primeiro_emprestimo"
21;50000;"Mortgage";5.0;"Debtconsolidation";"A";5375;7.49;0;0.11;"N";3
31;48605;"Rent";0.0;"Venture";"B";12000;0.0;0;0.25;"N";10
23;80000;"Mortgage";0.0;"Personal";"A";3000;5.99;0;0.04;"N";3
31;36000;"Mortgage";5.0;"Venture";"A";6000;6.99;0;0.17;"N";9
30;117500;"Mortgage";3.0;"Personal";"A";17500;7.37;0;0.15;"N";6
27;65000;"Rent";2.0;"Homeimprovement";"A";4000;5.99;0;0.06;"N";5
29;74000;"Mortgage";3.0;"Education";"D";3000;16.32;1;0.04;"N";6
21;60000;"Rent";5.0;"Education";"B";10000;12.18;0;0.17;"N";2
24;120000;"Own";8.0;"Education";"A";5275;5.42;0;0.04;"N";4
29;40800;"Mortgage";0.0;"Homeimprovement";"A";2000;7.74;0;0.05;"N";8
24;48000;"Own";4.0;"Education";"A";3000;5.79;0;0.06;"N";4
43;80000;"Mortgage";3.0;"Venture";"A";9800;5.99;0;0.12;"N";17
23;64000;"Rent";3.0;"Venture";"D";10000;0.0;1;0.16;"Y";3
31;92000;"Rent";3.0;"Personal";"D";17000;14.54;0;0.18;"Y";10
21;24996;"Rent";3.0;"Education";"B";6000;11.83;0;0.24;"N";3
22;34800;"Rent";6.0;"Venture";"C";15000;14.27;1;0.43;"Y";3
24;92000;"Own";4.0;"Medical";"B";7200;9.88;0;0.08;"N";2
24;75000;"Rent";2.0;"Homeimprovement";"B";7000;10.74;0;0.09;"N";3
22;24000;"Own";4.0;"Personal";"C";4750;0.0;0;0.2;"Y";3
22;49200;"Mortgage";0.0;"Debtconsolidation";"A";21000;7.51;0;0.43;"N";4
24;83000;"Rent";3.0;"Homeimprovement";"A";3200;6.99;0;0.04;"N";3
25;172000;"Mortgage";9.0;"Education";"B";12000;11.86;0;0.07;"N";4
28;50000;"Rent";5.0;"Personal";"A";10000;7.88;0;0.2;"N";7
42;40000;"Rent";0.0;"Debtconsolidation";"B";7200;10.75;0;0.18;"N";17
26;16800;"Rent";0.0;"Education";"B";5000;0.0;1;0.3;"N";4
34;150000;"Mortgage";5.0;"Venture";"B";15000;11.86;0;0.1;"N";9
22;41000;"Rent";6.0;"Venture";"A";5000;0.0;0;0.12;"N";2
27;120000;"Mortgage";4.0;"Homeimprovement";"D";25000;16.07;0;0.21;"Y";10
58;33600;"Rent";6.0;"Education";"C";1500;14.79;0;0.04;"N";28
30;39996;"Mortgage";2.0;"Personal";"B";10000;10.75;0;0.25;"N";8
25;80000;"Mortgage";9.0;"Venture";"D";14000;15.62;0;0.17;"Y";4
32;33000;"Mortgage";2.0;"Medical";"A";5000;6.17;0;0.15;"N";7
23;57000;"Mortgage";7.0;"Personal";"A";9250;5.99;0;0.16;"N";4
23;48500;"Rent";0.0;"Debtconsolidation";"B";4500;12.21;0;0.09;"N";4
33;44500;"Own";6.0;"Education";"B";20000;0.0;0;0.45;"N";6
39;52000;"Rent";5.0;"Personal";"B";6500;0.0;0;0.13;"N";12
21;26000;"Rent";1.0;"Personal";"B";2400;11.58;1;0.09;"N";4
32;65000;"Own";3.0;"Education";"C";12000;13.35;0;0.18;"N";10
27;102400;"Mortgage";2.0;"Education";"D";25000;15.57;0;0.24;"N";10
32;64516;"Rent";0.0;"Personal";"C";20000;10.65;1;0.31;"N";8
38;50400;"Rent";5.0;"Debtconsolidation";"B";10100;11.49;0;0.2;"N";16
23;74196;"Mortgage";5.0;"Venture";"B";17000;11.26;0;0.23;"N";4
27;32000;"Mortgage";2.0;"Homeimprovement";"B";14000;11.89;0;0.44;"N";7
37;71400;"Mortgage";7.0;"Medical";"E";3100;20.69;1;0.04;"Y";14
21;35004;"Own";5.0;"Venture";"B";1500;9.62;0;0.04;"N";2
24;28800;"Own";0.0;"Education";"A";7500;8.49;0;0.26;"N";2
32;200000;"Rent";6.0;"Homeimprovement";"E";35000;19.03;0;0.17;"Y";8
30;101500;"Rent";2.0;"Homeimprovement";"B";18000;12.18;0;0.18;"N";10
40;35000;"Mortgage";6.0;"Venture";"B";5600;10.65;0;0.16;"N";13
30;136000;"Mortgage";13.0;"Venture";"B";2800;10.65;0;0.02;"N";10
33;39600;"Mortgage";0.0;"Personal";"A";3000;7.68;0;0.08;"N";7
41;55000;"Mortgage";17.0;"Personal";"A";9000;5.99;0;0.16;"N";17
26;97000;"Rent";4.0;"Medical";"A";16800;6.17;0;0.17;"N";4
28;39600;"Mortgage";2.0;"Debtconsolidation";"B";5000;12.53;0;0.13;"N";6
24;70399;"Rent";0.0;"Medical";"A";1000;8.59;0;0.01;"N";3
26;104550;"Mortgage";5.0;"Medical";"D";24000;15.21;1;0.2;"Y";4
28;19200;"Rent";0.0;"Medical";"C";9250;14.22;1;0.48;"N";9
32;27500;"Rent";0.0;"Homeimprovement";"B";4000;10.62;1;0.15;"N";7
24;40000;"Rent";1.0;"Medical";"A";7800;0.0;0;0.2;"N";2
24;27000;"Rent";0.0;"Debtconsolidation";"C";10000;12.73;1;0.37;"N";2
26;31000;"Mortgage";9.0;"Homeimprovement";"A";15000;7.9;1;0.48;"N";4
25;23000;"Rent";0.0;"Debtconsolidation";"D";7000;12.49;1;0.3;"Y";4
24;24000;"Rent";2.0;"Homeimprovement";"D";3500;15.65;1;0.15;"Y";3
24;121000;"Rent";8.0;"Venture";"A";20000;8.9;0;0.17;"N";3
24;35000;"Rent";2.0;"Medical";"B";16000;11.71;1;0.46;"N";3
23;37000;"Own";6.0;"Medical";"A";1125;5.79;0;0.03;"N";3
23;39000;"Rent";2.0;"Personal";"D";10000;15.2;1;0.26;"Y";3
31;78411;"Rent";9.0;"Debtconsolidation";"A";1400;0.0;0;0.02;"N";6
26;27000;"Rent";9.0;"Debtconsolidation";"A";11000;8.9;1;0.41;"N";3
31;75000;"Mortgage";2.0;"Education";"A";12000;7.29;0;0.16;"N";10
27;66240;"Rent";7.0;"Medical";"A";5000;5.79;0;0.08;"N";9
27;60000;"Mortgage";8.0;"Personal";"B";5000;9.63;0;0.08;"N";6
24;54996;"Rent";0.0;"Homeimprovement";"B";5000;10.39;0;0.09;"N";2
30;90000;"Mortgage";4.0;"Venture";"C";8000;0.0;0;0.09;"Y";9
27;15600;"Rent";11.0;"Homeimprovement";"B";2800;10.65;1;0.18;"N";5
30;45000;"Mortgage";11.0;"Venture";"C";10000;13.57;0;0.22;"Y";6
29;34000;"Mortgage";0.0;"Medical";"D";10200;17.27;1;0.3;"Y";5
25;28128;"Rent";2.0;"Venture";"D";7500;15.33;1;0.27;"N";3
26;40000;"Mortgage";5.0;"Education";"A";7200;7.49;0;0.18;"N";2
23;63000;"Rent";7.0;"Education";"C";2500;14.72;0;0.04;"N";2
31;46000;"Rent";6.0;"Personal";"B";8000;0.0;0;0.17;"N";9
23;23760;"Rent";2.0;"Personal";"B";2800;0.0;0;0.12;"N";4
22;39868;"Mortgage";2.0;"Debtconsolidation";"D";2400;16.02;1;0.06;"Y";4
25;90000;"Rent";9.0;"Medical";"B";25000;10.99;0;0.28;"N";4
24;30000;"Rent";6.0;"Debtconsolidation";"A";6000;7.51;0;0.2;"N";3
23;30000;"Rent";4.0;"Debtconsolidation";"D";6000;16.32;1;0.2;"Y";3
45;75000;"Mortgage";2.0;"Education";"B";15000;0.0;0;0.2;"N";12
28;80000;"Rent";3.0;"Homeimprovement";"C";17000;13.85;0;0.21;"Y";8
23;15000;"Mortgage";1.0;"Medical";"C";1750;12.68;0;0.12;"Y";3
29;480000;"Mortgage";6.0;"Medical";"A";6500;5.42;0;0.01;"N";6
34;36000;"Rent";0.0;"Venture";"D";6000;0.0;1;0.17;"N";10
25;36000;"Rent";6.0;"Personal";"B";15000;0.0;1;0.42;"N";4
22;100000;"Mortgage";0.0;"Debtconsolidation";"B";20000;11.83;0;0.2;"N";2
25;95000;"Rent";8.0;"Personal";"B";8000;10.99;0;0.08;"N";3
23;10560;"Rent";0.0;"Debtconsolidation";"B";2800;9.99;1;0.27;"N";4
26;190300;"Mortgage";5.0;"Personal";"A";15000;0.0;0;0.08;"N";3
44;57600;"Rent";12.0;"Personal";"A";7000;7.4;0;0.12;"N";11
27;45000;"Mortgage";0.0;"Homeimprovement";"B";3900;11.36;0;0.09;"N";6
22;60000;"Rent";5.0;"Debtconsolidation";"C";2500;0.0;0;0.04;"Y";4
31;30000;"Rent";1.0;"Debtconsolidation";"A";5600;7.74;0;0.19;"N";7
25;64000;"Rent";9.0;"Medical";"B";14400;9.62;0;0.23;"N";2
22;45000;"Mortgage";4.0;"Personal";"C";5000;13.48;0;0.11;"Y";4
24;65000;"Rent";0.0;"Personal";"A";4800;7.88;0;0.07;"N";4
25;82000;"Rent";2.0;"Venture";"B";4050;9.99;0;0.05;"N";2
25;73000;"Rent";4.0;"Medical";"B";10000;11.71;0;0.14;"N";3
24;10000;"Rent";0.0;"Venture";"B";1400;10.83;0;0.14;"N";4
28;33600;"Rent";12.0;"Education";"B";4200;10.0;0;0.13;"N";5
23;60000;"Rent";3.0;"Education";"B";8000;10.25;0;0.13;"N";3
38;108000;"Rent";3.0;"Personal";"D";5000;15.21;1;0.05;"Y";17
34;48000;"Rent";4.0;"Debtconsolidation";"B";10800;10.99;0;0.23;"N";7
30;103500;"Mortgage";14.0;"Venture";"D";24150;14.61;0;0.23;"N";9
32;100000;"Mortgage";17.0;"Medical";"A";4500;5.42;0;0.04;"N";10
29;150000;"Mortgage";0.0;"Debtconsolidation";"A";14000;5.79;0;0.09;"N";9
28;47000;"Mortgage";5.0;"Homeimprovement";"B";6000;8.88;1;0.13;"N";6
31;54996;"Rent";5.0;"Personal";"A";5000;8.0;0;0.09;"N";9
34;52809;"Rent";18.0;"Venture";"B";13000;10.62;0;0.25;"N";9
24;145000;"Mortgage";0.0;"Homeimprovement";"B";7000;10.99;0;0.05;"N";3
24;30000;"Rent";0.0;"Education";"A";12000;6.91;1;0.4;"N";3
28;71000;"Rent";0.0;"Homeimprovement";"D";3200;14.61;1;0.05;"Y";5
26;22296;"Own";0.0;"Personal";"A";5400;5.42;0;0.24;"N";3
22;40000;"Mortgage";1.0;"Personal";"E";8000;16.0;0;0.2;"Y";3
23;12000;"Rent";0.0;"Personal";"A";5825;6.62;1;0.49;"N";4
53;88000;"Rent";0.0;"Education";"A";5000;8.49;0;0.06;"N";25
24;136000;"Mortgage";9.0;"Personal";"F";25000;19.13;1;0.18;"N";3
25;21500;"Rent";2.0;"Medical";"C";7500;11.34;1;0.35;"Y";3
22;44000;"Mortgage";4.0;"Education";"B";10000;12.69;0;0.23;"N";2
24;22000;"Rent";0.0;"Medical";"A";2200;0.0;0;0.1;"N";3
28;36000;"Own";0.0;"Personal";"D";2500;15.99;0;0.07;"Y";8
22;24000;"Rent";3.0;"Personal";"B";3000;0.0;0;0.13;"N";4
23;39000;"Own";7.0;"Medical";"B";3000;10.62;0;0.08;"N";2
38;175000;"Mortgage";10.0;"Education";"B";21000;9.99;0;0.12;"N";14
33;37500;"Mortgage";3.0;"Education";"D";6500;15.33;0;0.17;"Y";7
23;38000;"Rent";7.0;"Personal";"B";12000;11.71;1;0.32;"N";4
29;21000;"Rent";7.0;"Education";"B";6000;12.42;0;0.29;"N";6
25;28500;"Rent";0.0;"Medical";"B";8500;11.14;0;0.3;"N";3
23;30000;"Rent";3.0;"Personal";"D";3000;15.2;0;0.1;"Y";4
23;38000;"Rent";7.0;"Personal";"B";12000;11.71;1;0.32;"N";2
24;54000;"Mortgage";8.0;"Homeimprovement";"B";8500;10.99;0;0.16;"N";3
39;95000;"Own";6.0;"Homeimprovement";"B";8000;12.69;0;0.08;"N";14
30;46000;"Rent";5.0;"Venture";"A";9000;7.29;0;0.2;"N";5
24;95000;"Rent";8.0;"Personal";"A";6500;8.49;0;0.07;"N";2
32;36000;"Rent";0.0;"Venture";"B";10000;11.99;0;0.28;"N";9
24;52800;"Rent";8.0;"Debtconsolidation";"A";9000;7.49;0;0.17;"N";4
32;46700;"Mortgage";16.0;"Homeimprovement";"A";11325;7.51;0;0.24;"N";10
34;25000;"Rent";0.0;"Venture";"B";5325;10.99;0;0.21;"N";7
27;127000;"Mortgage";6.0;"Personal";"B";21000;10.99;0;0.17;"N";8
23;38400;"Mortgage";6.0;"Education";"A";8000;6.62;0;0.21;"N";4
22;24996;"Rent";3.0;"Medical";"A";10000;8.94;1;0.4;"N";4
24;25000;"Rent";0.0;"Venture";"B";8500;11.71;1;0.34;"N";3
36;150000;"Mortgage";8.0;"Education";"A";3000;7.29;0;0.02;"N";17
24;49700;"Rent";3.0;"Medical";"E";15000;15.68;1;0.3;"N";4
27;125000;"Mortgage";1.0;"Homeimprovement";"A";24000;6.91;0;0.19;"N";8
27;30000;"Rent";6.0;"Education";"B";4000;12.69;1;0.13;"N";7
22;42000;"Rent";1.0;"Medical";"B";10000;12.42;0;0.24;"N";4
23;60000;"Mortgage";8.0;"Medical";"B";10000;0.0;0;0.17;"N";3
22;83004;"Mortgage";6.0;"Education";"A";24000;7.88;0;0.29;"N";2
22;27500;"Rent";1.0;"Venture";"B";4250;10.99;0;0.15;"N";2
24;70000;"Rent";8.0;"Venture";"C";4000;13.49;0;0.06;"Y";4
23;39800;"Mortgage";0.0;"Medical";"B";20000;14.54;1;0.23;"Y";11
25;96000;"Mortgage";5.0;"Debtconsolidation";"A";35000;7.49;0;0.36;"N";3
44;39684;"Rent";4.0;"Personal";"B";6000;0.0;0;0.15;"N";15
23;30000;"Rent";6.0;"Venture";"B";19750;11.14;1;0.66;"N";4
27;20160;"Rent";4.0;"Debtconsolidation";"A";5300;0.0;0;0.26;"N";6
23;90000;"Mortgage";1.0;"Education";"B";12000;12.18;0;0.13;"N";4
35;415000;"Mortgage";2.0;"Homeimprovement";"E";15500;16.45;0;0.04;"Y";10
29;52000;"Rent";2.0;"Education";"C";2725;11.66;0;0.05;"N";8
27;68400;"Own";0.0;"Education";"C";5000;12.99;0;0.07;"N";8
24;42200;"Rent";5.0;"Medical";"A";4450;9.32;0;0.11;"N";4
22;40000;"Rent";7.0;"Education";"B";10000;10.37;0;0.25;"N";2
33;80000;"Rent";5.0;"Personal";"B";1800;10.75;0;0.02;"N";7
30;90000;"Rent";14.0;"Education";"D";3600;14.91;0;0.04;"N";6
25;55200;"Rent";0.0;"Homeimprovement";"C";3600;13.98;0;0.07;"N";4
26;28944;"Own";10.0;"Education";"B";9000;0.0;0;0.31;"N";4
27;58000;"Rent";0.0;"Homeimprovement";"C";8500;13.49;0;0.15;"Y";6
25;75000;"Mortgage";1.0;"Medical";"A";8000;7.51;0;0.11;"N";3
24;100000;"Mortgage";8.0;"Venture";"F";30000;18.62;0;0.3;"Y";2
25;55000;"Mortgage";1.0;"Debtconsolidation";"C";2000;13.22;0;0.04;"N";2
27;50000;"Mortgage";1.0;"Personal";"A";3000;7.68;0;0.06;"N";5
23;85000;"Mortgage";1.0;"Venture";"B";10000;10.36;0;0.12;"N";4
29;82450;"Mortgage";11.0;"Medical";"E";7500;14.5;1;0.08;"N";9
22;23900;"Rent";0.0;"Personal";"B";9000;0.0;1;0.38;"N";2
38;60000;"Mortgage";9.0;"Venture";"A";10000;7.51;0;0.17;"N";14
23;53000;"Rent";6.0;"Medical";"C";8000;14.26;0;0.15;"Y";4
31;61150;"Rent";0.0;"Debtconsolidation";"B";5100;11.49;0;0.08;"N";8
24;131004;"Mortgage";8.0;"Personal";"A";24000;7.49;0;0.18;"N";4
34;68000;"Mortgage";17.0;"Personal";"D";10000;16.29;0;0.15;"N";9
22;35000;"Rent";0.0;"Venture";"C";2000;12.99;0;0.06;"Y";2
26;97000;"Rent";2.0;"Debtconsolidation";"A";7000;7.91;0;0.07;"N";4
29;21996;"Rent";6.0;"Debtconsolidation";"D";8500;14.11;1;0.39;"Y";7
37;40000;"Rent";1.0;"Venture";"C";21250;12.99;1;0.53;"N";16
30;42000;"Rent";0.0;"Medical";"B";1850;11.99;0;0.04;"N";6
28;45000;"Own";11.0;"Medical";"C";10500;15.96;0;0.23;"N";8
24;45996;"Rent";9.0;"Personal";"B";3500;12.21;1;0.08;"N";2
27;21000;"Rent";5.0;"Medical";"B";4000;11.49;0;0.19;"N";9
25;12000;"Rent";2.0;"Homeimprovement";"B";2000;11.89;1;0.17;"N";4
29;125000;"Mortgage";2.0;"Homeimprovement";"C";8500;13.47;0;0.07;"Y";5
27;78000;"Mortgage";0.0;"Homeimprovement";"A";5000;5.42;0;0.06;"N";7
22;32968;"Rent";2.0;"Debtconsolidation";"D";5000;14.61;1;0.15;"N";3
22;18996;"Rent";3.0;"Personal";"D";3200;15.28;1;0.17;"N";2
25;62903;"Mortgage";9.0;"Medical";"B";3000;10.65;1;0.04;"N";2
23;28800;"Mortgage";7.0;"Debtconsolidation";"B";8400;9.63;0;0.29;"N";3
30;78000;"Mortgage";1.0;"Venture";"C";26000;15.96;0;0.33;"Y";5
24;70000;"Rent";4.0;"Education";"C";14400;12.68;0;0.21;"Y";4
37;88000;"Mortgage";21.0;"Venture";"A";12000;7.51;0;0.14;"N";17
22;31200;"Rent";3.0;"Venture";"C";4200;13.57;0;0.13;"Y";2
22;47748;"Mortgage";5.0;"Personal";"A";4500;6.39;0;0.09;"N";4
22;35000;"Mortgage";2.0;"Education";"A";6000;7.49;0;0.17;"N";4
44;80000;"Mortgage";28.0;"Venture";"D";25000;15.33;0;0.31;"Y";17
22;58170;"Rent";1.0;"Education";"A";3000;9.07;1;0.05;"N";2
21;80000;"Mortgage";5.0;"Education";"C";5000;12.99;0;0.06;"N";2
39;45000;"Mortgage";4.0;"Venture";"A";8625;0.0;0;0.19;"N";13
27;150000;"Mortgage";2.0;"Medical";"A";18000;0.0;0;0.12;"N";5
25;20000;"Rent";2.0;"Venture";"A";4000;7.29;0;0.2;"N";3
26;125000;"Mortgage";4.0;"Personal";"C";14800;0.0;0;0.12;"Y";3
23;195000;"Mortgage";0.0;"Education";"B";20000;9.63;0;0.1;"N";3
23;21600;"Own";0.0;"Education";"B";4400;12.53;0;0.2;"N";2
22;56400;"Rent";2.0;"Debtconsolidation";"A";9500;8.9;0;0.17;"N";4
33;50000;"Rent";0.0;"Homeimprovement";"A";20400;6.54;1;0.41;"N";7
41;41004;"Mortgage";4.0;"Medical";"B";10000;11.99;0;0.24;"N";14
34;20000;"Rent";0.0;"Medical";"F";5000;18.43;1;0.25;"N";9
30;48500;"Rent";0.0;"Medical";"B";4200;11.48;0;0.09;"N";7
29;240000;"Mortgage";13.0;"Debtconsolidation";"A";12000;6.03;0;0.05;"N";9
26;92400;"Mortgage";8.0;"Medical";"A";14500;7.88;0;0.16;"N";4
36;54000;"Rent";2.0;"Homeimprovement";"C";2225;10.59;1;0.04;"N";14
22;38000;"Mortgage";5.0;"Debtconsolidation";"B";10000;12.21;0;0.26;"N";3
25;110000;"Mortgage";7.0;"Education";"A";8000;7.14;0;0.07;"N";4
24;156000;"Mortgage";8.0;"Personal";"B";15000;10.25;0;0.1;"N";2
26;48000;"Rent";10.0;"Personal";"B";4225;9.83;0;0.09;"N";2
21;18000;"Own";0.0;"Venture";"B";6250;10.62;1;0.35;"N";4
31;143000;"Rent";4.0;"Venture";"D";25000;16.07;0;0.17;"Y";7
32;39000;"Mortgage";7.0;"Homeimprovement";"D";2800;12.17;1;0.07;"Y";6
23;113000;"Mortgage";6.0;"Debtconsolidation";"B";10000;10.38;1;0.09;"N";3
25;64000;"Mortgage";9.0;"Homeimprovement";"A";9000;5.99;0;0.14;"N";2
25;53000;"Rent";6.0;"Medical";"C";3000;13.99;0;0.06;"Y";2
24;45000;"Mortgage";0.0;"Venture";"A";3600;0.0;0;0.08;"N";2
33;45600;"Mortgage";1.0;"Education";"A";4000;5.99;0;0.09;"N";10
32;40000;"Mortgage";16.0;"Debtconsolidation";"A";16000;5.99;0;0.4;"N";10
24;80000;"Rent";5.0;"Venture";"B";12000;9.91;0;0.15;"N";2
25;33000;"Rent";1.0;"Medical";"B";14125;9.91;1;0.43;"N";3
41;58650;"Mortgage";15.0;"Medical";"B";12000;11.14;1;0.17;"N";16
22;44052;"Rent";3.0;"Debtconsolidation";"D";5500;0.0;1;0.12;"Y";2
24;24000;"Rent";1.0;"Personal";"A";8500;7.9;1;0.35;"N";3
37;133000;"Rent";3.0;"Medical";"C";9000;13.85;0;0.07;"Y";12
29;80000;"Own";0.0;"Venture";"C";24000;12.87;0;0.3;"N";9
21;65000;"Rent";0.0;"Venture";"A";7000;0.0;0;0.11;"N";4
24;39000;"Rent";4.0;"Homeimprovement";"C";8000;0.0;1;0.21;"N";2
21;45000;"Rent";3.0;"Venture";"B";6500;10.74;0;0.14;"N";2
26;84000;"Mortgage";5.0;"Education";"C";21000;13.49;0;0.25;"Y";2
27;85000;"Mortgage";6.0;"Homeimprovement";"B";5500;11.36;0;0.06;"N";9
39;60000;"Rent";1.0;"Medical";"B";11025;10.59;0;0.18;"N";12
32;37050;"Rent";2.0;"Debtconsolidation";"A";8000;8.0;0;0.22;"N";6
21;90000;"Mortgage";5.0;"Personal";"B";21000;0.0;0;0.23;"N";4
47;156000;"Mortgage";5.0;"Education";"B";18000;11.99;0;0.12;"N";17
25;80000;"Mortgage";4.0;"Medical";"A";6000;7.74;0;0.07;"N";4
32;84000;"Mortgage";15.0;"Medical";"A";15000;6.91;0;0.18;"N";7
42;360000;"Mortgage";11.0;"Homeimprovement";"B";25000;9.99;0;0.07;"N";17
22;72000;"Rent";5.0;"Education";"A";6400;6.91;0;0.09;"N";2
29;12000;"Own";0.0;"Homeimprovement";"B";4500;11.14;1;0.38;"N";6
22;45000;"Rent";6.0;"Medical";"B";10000;9.91;0;0.22;"N";2
33;250000;"Rent";0.0;"Medical";"A";35000;7.29;0;0.14;"N";7
33;58344;"Rent";5.0;"Venture";"D";11975;16.29;0;0.21;"Y";9
24;58000;"Mortgage";8.0;"Debtconsolidation";"A";3000;5.42;0;0.05;"N";4
22;32500;"Mortgage";6.0;"Education";"A";2500;6.99;0;0.08;"N";2
32;32678;"Mortgage";10.0;"Debtconsolidation";"C";3075;15.23;0;0.09;"N";6
40;85000;"Mortgage";1.0;"Education";"C";10000;12.87;0;0.12;"N";11
29;42000;"Own";13.0;"Medical";"A";2500;6.76;0;0.06;"N";5
34;90000;"Mortgage";5.0;"Homeimprovement";"B";24250;10.62;0;0.27;"N";6
22;60000;"Rent";3.0;"Personal";"B";6500;9.25;0;0.11;"N";2
27;55000;"Mortgage";2.0;"Medical";"B";9600;9.62;0;0.17;"N";9
23;141000;"Mortgage";1.0;"Education";"B";15000;0.0;0;0.11;"N";4
23;112995;"Rent";7.0;"Venture";"A";2500;7.37;0;0.02;"N";3
22;22800;"Rent";4.0;"Education";"C";5000;13.85;0;0.22;"Y";2
23;92004;"Mortgage";7.0;"Education";"B";24250;11.12;0;0.26;"N";2
25;66000;"Rent";9.0;"Personal";"D";12000;16.89;1;0.18;"N";2
29;18000;"Rent";0.0;"Debtconsolidation";"B";6400;10.37;1;0.36;"N";6
23;66000;"Rent";2.0;"Education";"A";7000;7.66;0;0.11;"N";3
26;16428;"Rent";0.0;"Personal";"C";2400;12.23;0;0.15;"N";4
29;45600;"Mortgage";3.0;"Education";"C";4750;0.0;0;0.1;"N";9
33;50500;"Mortgage";2.0;"Medical";"D";4000;0.0;1;0.08;"Y";8
22;60000;"Rent";2.0;"Personal";"B";3000;11.89;0;0.05;"N";4
29;16800;"Rent";4.0;"Personal";"A";5000;6.92;1;0.3;"N";7
22;48000;"Rent";0.0;"Education";"A";1000;7.29;0;0.02;"N";2
30;110000;"Mortgage";15.0;"Personal";"C";12000;13.61;0;0.11;"N";10
21;39996;"Mortgage";6.0;"Education";"C";13000;13.48;0;0.33;"N";2
34;90000;"Mortgage";5.0;"Personal";"B";24250;10.62;0;0.27;"N";7
35;120000;"Mortgage";2.0;"Personal";"A";8000;0.0;0;0.07;"N";10
25;38004;"Rent";6.0;"Medical";"C";20000;13.11;1;0.53;"N";2
27;60000;"Rent";1.0;"Personal";"C";10000;13.22;0;0.17;"N";7
23;43000;"Rent";1.0;"Debtconsolidation";"B";5500;11.89;0;0.13;"N";4
25;11000;"Rent";3.0;"Medical";"B";3400;0.0;1;0.31;"N";2
24;28800;"Rent";0.0;"Medical";"C";5300;15.27;0;0.18;"N";3
26;100000;"Mortgage";5.0;"Debtconsolidation";"B";24000;10.99;0;0.24;"N";4
29;59000;"Mortgage";6.0;"Homeimprovement";"A";10000;6.91;0;0.17;"N";5
22;41340;"Rent";6.0;"Venture";"D";14000;17.49;1;0.34;"N";3
24;130000;"Mortgage";6.0;"Personal";"B";20000;11.58;0;0.15;"N";2
21;27600;"Rent";4.0;"Education";"A";7500;6.76;0;0.27;"N";4
22;38000;"Rent";0.0;"Education";"A";5000;7.29;0;0.13;"N";3
36;84996;"Mortgage";11.0;"Personal";"B";3500;12.69;0;0.04;"N";13
25;67000;"Mortgage";3.0;"Personal";"A";3000;7.9;0;0.04;"N";3
28;18000;"Rent";9.0;"Homeimprovement";"A";7600;8.49;1;0.42;"N";9
26;41000;"Rent";1.0;"Debtconsolidation";"A";6600;8.0;0;0.16;"N";2
23;130000;"Mortgage";0.0;"Medical";"A";6000;5.42;0;0.05;"N";2
32;65000;"Rent";4.0;"Medical";"A";6000;7.49;0;0.09;"N";5
30;100000;"Mortgage";13.0;"Personal";"A";10000;6.17;0;0.1;"N";9
25;147750;"Rent";3.0;"Homeimprovement";"B";5750;9.99;0;0.04;"N";4
39;55000;"Own";3.0;"Homeimprovement";"C";13000;13.98;0;0.24;"N";14
28;77000;"Mortgage";5.0;"Personal";"B";15000;12.21;0;0.19;"N";5
34;29152;"Rent";0.0;"Venture";"B";5000;10.36;0;0.17;"N";7
28;144000;"Mortgage";12.0;"Medical";"A";35000;8.9;0;0.24;"N";7
29;100000;"Own";13.0;"Personal";"A";10000;6.92;0;0.1;"N";8
23;46000;"Rent";2.0;"Education";"F";12800;19.41;1;0.28;"Y";3
24;47928;"Rent";1.0;"Medical";"B";6000;12.53;0;0.13;"N";3
23;48000;"Rent";1.0;"Personal";"C";10000;13.79;0;0.21;"N";3
30;198171;"Mortgage";4.0;"Debtconsolidation";"A";5000;5.79;0;0.03;"N";6
30;12500;"Rent";0.0;"Personal";"D";2100;12.49;1;0.17;"Y";7
29;26400;"Rent";5.0;"Medical";"C";7750;14.27;1;0.29;"N";7
25;25000;"Own";1.0;"Venture";"C";4800;12.53;0;0.19;"N";3
28;48000;"Rent";5.0;"Personal";"B";15000;11.99;1;0.31;"N";7
22;24432;"Rent";0.0;"Education";"B";2000;11.36;0;0.08;"N";3
50;58800;"Mortgage";12.0;"Debtconsolidation";"E";22000;17.74;1;0.37;"N";15
30;65000;"Rent";14.0;"Personal";"C";11475;13.72;0;0.18;"N";6
22;50000;"Own";4.0;"Venture";"B";16000;9.45;0;0.32;"N";4
24;91000;"Mortgage";0.0;"Personal";"A";1000;7.68;0;0.01;"N";4
25;33000;"Rent";9.0;"Medical";"A";3200;5.42;0;0.1;"N";4
25;30000;"Rent";4.0;"Education";"B";5000;11.86;0;0.17;"N";2
24;18000;"Mortgage";3.0;"Venture";"C";1200;11.34;0;0.07;"Y";4
36;55500;"Mortgage";15.0;"Education";"B";7875;11.99;0;0.14;"N";12
31;130000;"Mortgage";15.0;"Medical";"C";1600;13.99;0;0.01;"Y";6
26;40000;"Rent";11.0;"Personal";"B";5000;9.91;0;0.13;"N";3
23;69996;"Mortgage";7.0;"Venture";"A";3000;6.39;0;0.04;"N";4
29;44991;"Mortgage";13.0;"Medical";"C";5000;14.72;0;0.11;"Y";8
